mb-0,download-btn href
November 2012,https://www.dpiit.gov.in/static/uploads/2025/07/26e8e30d63ac21f2478a653079269671.pdf
October 2012,https://www.dpiit.gov.in/static/uploads/2025/07/387d9e6f7517afe58459e4d08ebf4fb6.pdf
September 2012,https://www.dpiit.gov.in/static/uploads/2025/07/4d9e59981a9d1e6db93c379546c3beee.pdf
August 2012,https://www.dpiit.gov.in/static/uploads/2025/07/c71f838073c049877941940a8abf0e06.pdf
July 2012,https://www.dpiit.gov.in/static/uploads/2025/07/e6976e00a9520966cb2647b601728b0c.pdf
June 2012,https://www.dpiit.gov.in/static/uploads/2025/07/6fb75873a6a46bf97bcd2e064ccee456.pdf
May 2012,https://www.dpiit.gov.in/static/uploads/2025/07/eb12dcc97d3a140d7eec652b7b85f0cf.pdf
April 2012,https://www.dpiit.gov.in/static/uploads/2025/07/0b732507a517db64c02c36074c4ea0da.pdf
March 2012,https://www.dpiit.gov.in/static/uploads/2025/07/532614a7f6e1447f0fefd322eacf467a.pdf
February 2012,https://www.dpiit.gov.in/static/uploads/2025/07/10aa1ded9f4572df5ae3f023da63095a.pdf
January 2012,https://www.dpiit.gov.in/static/uploads/2025/07/8002b61286a1eac3e46db20ca627468f.pdf
December 2011,https://www.dpiit.gov.in/static/uploads/2025/07/b35ee77eee82aee9b4abd3fbfd31ed20.pdf
November 2011,https://www.dpiit.gov.in/static/uploads/2025/07/b4286a986230378a64b7a81c0529452f.pdf
October 2011,https://www.dpiit.gov.in/static/uploads/2025/07/a0af87183f56eaee0d7835c051ab2ca7.pdf
September 2011,https://www.dpiit.gov.in/static/uploads/2025/07/044c1631ea30597ec692f482bfee898d.pdf
August 2011,https://www.dpiit.gov.in/static/uploads/2025/07/79388988f9388a3b9956603e45086b34.pdf
July 2011,https://www.dpiit.gov.in/static/uploads/2025/07/7107961979a15678c0fd3d922abdc30a.pdf
June 2011,https://www.dpiit.gov.in/static/uploads/2025/07/30885410c3a87752f6c53b4d5434b342.pdf
May 2011,https://www.dpiit.gov.in/static/uploads/2025/07/647a8096e3e6e79fd8c6cf52ae174f18.pdf
April 2011,https://www.dpiit.gov.in/static/uploads/2025/07/4aa0a174e8318444f570f85a30088dcb.pdf
March 2011,https://www.dpiit.gov.in/static/uploads/2025/07/390b7e1ee3c33a9d1e358cb8a2aa0503.pdf
February 2011,https://www.dpiit.gov.in/static/uploads/2025/07/97c6363981cc064f9d0d6db037b1bc0e.pdf
January 2011,https://www.dpiit.gov.in/static/uploads/2025/07/0dc64dd266d6d2feeffea67d49e25084.pdf
December 2010,https://www.dpiit.gov.in/static/uploads/2025/07/542195868e2fd61f01f448a7a9c9caaa.pdf
November 2010,https://www.dpiit.gov.in/static/uploads/2025/07/b79ab1042bcbfcfdf9e7ed0ba00a9d88.pdf
October 2010,https://www.dpiit.gov.in/static/uploads/2025/07/984ad7ea2f8cceee7dca37d15dc1b90a.pdf
September 2010,https://www.dpiit.gov.in/static/uploads/2025/07/9c07b921b2978b892c8df7999b681eb1.pdf
August 2010,https://www.dpiit.gov.in/static/uploads/2025/07/80c076691d5a28c4bf19fdb77811cdeb.pdf
July 2010,https://www.dpiit.gov.in/static/uploads/2025/07/738eca3c60e867d00c02820726c64525.pdf
June 2010,https://www.dpiit.gov.in/static/uploads/2025/07/a9d0563d142eeffbf7cbe918242dd9a6.pdf
May 2010,https://www.dpiit.gov.in/static/uploads/2025/07/a3d612f7f4b77a5a0cc658476dd5f985.pdf
April 2010,https://www.dpiit.gov.in/static/uploads/2025/07/aad398a0cb7addafcbe6f56d73eb8d90.pdf
March 2010,https://www.dpiit.gov.in/static/uploads/2025/07/ccecad3b3ea199447ce88f83d269bc35.pdf
February 2010,https://www.dpiit.gov.in/static/uploads/2025/07/d9b7411d90cdddbd29ba9a49b8fffb55.pdf
January 2010,https://www.dpiit.gov.in/static/uploads/2025/07/ca07bc7ea07d5189d63014a1d6c988ab.pdf
December 2009,https://www.dpiit.gov.in/static/uploads/2025/07/2f22b240ff2ef2ce6c4547a8e3b9871d.pdf
November 2009,https://www.dpiit.gov.in/static/uploads/2025/07/8b1d43afc147f1c4ffa271b4f39b60c3.pdf
October 2009,https://www.dpiit.gov.in/static/uploads/2025/07/beb2e62e69e4c84f8ebf4d0866c50126.pdf
September 2009,https://www.dpiit.gov.in/static/uploads/2025/07/b45f9af57520edf119e78f1bed6208c0.pdf
August 2009,https://www.dpiit.gov.in/static/uploads/2025/07/7bcee1b69d6c5e05c12f866bddf00886.pdf
July 2009,https://www.dpiit.gov.in/static/uploads/2025/07/c05fb74afe2618676af13284026ec2c9.pdf
June 2009,https://www.dpiit.gov.in/static/uploads/2025/07/d256955e2f553aa40ca58e8594b83bb6.pdf
