sid,name,ticker,type,slug,isin
RAJPU,Rajputana Biodiesel Ltd,RAJPUTANA,stock,/stocks/rajputana-biodiesel-RAJPU,INE0VHU01019
RIK,Rikhav Securities Ltd,RIKHAV,stock,/stocks/rikhav-securities-RIK,INE0CFH01028
REXPR,Rexpro Enterprises Ltd,REXPRO,stock,/stocks/rexpro-enterprises-REXPR,INE113601012
RRE,RDB Real Estate Constructions Ltd,RRECL,stock,/stocks/rdb-real-estate-construction-RRE,INE0AK901016
READ,Readymix Construction Machinery Ltd,READYMIX,stock,/stocks/readymix-construction-machinery-READ,INE10QL01011
ROYAA,Royal Arc Electrodes Ltd,ROYALARC,stock,/stocks/royal-arc-electrodes-ROYAA,INE0EO401019
ROA,Roadstar Infra Investment Trust,ROADSTAR,stock,/stocks/roadstar-infra-investment-trust-ROA,INE0JEI23010
RAPIF,Rapid Fleet Management Services Ltd,RAPIDFLEET,stock,/stocks/rapid-fleet-management-services-RAPIF,INE0QX901013
RETAG,Retaggio Industries Ltd,RETAGGIO,stock,/stocks/retaggio-industries-RETAG,INE0KWJ01014
RAYMO,Raymond Realty Ltd,RAYMONDREL,stock,/stocks/raymond-realty-RAYMO,INE1SY401010
RTR,Rama Telecom Ltd,RTL,stock,/stocks/rama-telecom-RTR,INE14W901010
REP,Repono Ltd,REPONO,stock,/stocks/repono-REP,INE15WN01014
RNP,Renol Polychem Ltd,RNPL,stock,/stocks/renol-polychem-RNP,INE0VZX01015
REGAA,Regaal Resources Ltd,REGAAL,stock,/stocks/regaal-resources-REGAA,INE0MHO01029
RACH,Rachit Prints Ltd,RACHIT,stock,/stocks/rachit-prints-RACH,INE0ZN101029
RDG,Rukmani Devi Garg Agro Impex Ltd,RDGAIL,stock,/stocks/rukmani-devi-garg-agro-impex-RDG,INE0S5T01017
RUBI,Rubicon Research Ltd,RUBICON,stock,/stocks/rubicon-research-RUBI,INE506V01022
ROCKP,Rockingdeals Circular Economy Ltd Partly Paidup,ROCKPP,stock,/stocks/rockingdeals-circular-economy-partly-paidup-ROCKP,IN90PTR01010
RAVE,Ravelcare Ltd,RAVEL,stock,/stocks/ravelcare-RAVE,INE0W4D01018
RDE,Riddhi Display Equipments Ltd,RDEL,stock,/stocks/riddhi-display-equipments-RDE,INE1DKT01011
SBGT,SBI Nifty 10 yr Benchmark G-Sec ETF,SETF10GILT,etf,/etfs/sbi-10-year-gilt-etf-SBGT,INF200KA1JT1
SBIN,SBI Nifty Next 50 ETF,SETFNN50,etf,/etfs/sbi-nifty-next-50-etf-SBIN,INF200KA1598
SIET,SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,etf,/etfs/sbi-nifty-200-quality-30-etf-SIET,INF200KA1WX6
SBIG,SBI Gold ETF,SETFGOLD,etf,/etfs/sbi-gold-etf-SBIG,INF200KA16D8
SBFP,SBI Nifty 50 ETF,SETFNIF50,etf,/etfs/sbi-nifty-50-etf-SBFP,INF200KA1FS1
SBIF,SBI Nifty Bank ETF,SETFNIFBK,etf,/etfs/sbi-nifty-bank-etf-SBIF,INF200KA1580
SET,SBI BSE Sensex Next 50 ETF,SETFSN50,etf,/etfs/sbi-sensex-next-50-etf-SET,INF200KA1VQ2
SETF,SBI BSE 100 ETF,SETFBSE100,etf,/etfs/sbi-bse-100-etf-SETF,INF200KA1572
